tconst,moyenneVote,NombreVotes
tt0069113,7.1,51926
tt0069191,7.3,14372
tt0069281,7.9,51458
tt0069293,7.9,101907
tt0069467,7.9,38508
tt0069495,7.7,28782
tt0069687,7.8,14278
tt0069697,7.3,14751
tt0069704,7.4,102268
tt0069747,7.4,15540
tt0069762,7.7,81380
tt0069865,7.5,14851
tt0069947,7.8,50298
tt0069995,7.1,66180
tt0070034,7.6,116793
tt0070040,7.7,21772
tt0070047,8.1,477658
tt0070077,7.4,12933
tt0070130,7.1,15439
tt0070215,7.3,30880
tt0070233,8.2,19491
tt0070239,7.4,31452
tt0070290,7.5,29916
tt0070334,7.5,40625
tt0070355,7.2,69360
tt0070379,7.2,124069
tt0070460,8.0,25592
tt0070510,8.1,54981
tt0070511,8.0,142275
tt0070518,7.2,22307
tt0070544,7.7,39779
tt0070608,7.5,144724
tt0070643,7.2,20657
tt0070644,8.5,17586
tt0070666,7.7,140996
tt0070707,7.1,45717
tt0070735,8.2,290288
tt0070791,7.1,12936
tt0070832,7.6,12694
tt0070842,7.1,12298
tt0070917,7.5,99739
tt0070992,7.4,22134
tt0071007,7.5,28709
tt0071042,8.2,11846
tt0071054,7.1,13883
tt0071075,9.2,33023
tt0071115,7.3,28667
tt0071129,7.8,49706
tt0071141,8.0,25033
tt0071222,7.1,52796
tt0071230,7.7,158536
tt0071249,7.4,22428
tt0071315,8.1,364927
tt0071360,7.7,130845
tt0071411,8.2,35054
tt0071487,7.7,17937
tt0071524,7.3,16027
tt0071562,9.0,1428858
tt0071615,7.7,50419
tt0071691,7.7,19590
tt0071746,7.5,18467
tt0071771,7.1,22375
tt0071853,8.2,587818
tt0071877,7.2,72073
tt0071970,7.1,23116
tt0071994,7.3,24289
tt0072251,7.6,38621
tt0072271,7.4,198207
tt0072281,7.1,21090
tt0072353,7.1,10375
tt0072417,8.0,31302
tt0072424,7.7,12614
tt0072431,8.0,175405
tt0072443,7.9,55063
tt0072500,8.8,105068
tt0072519,7.5,11340
tt0072562,8.0,55604
tt0072684,8.1,193250
tt0072783,8.3,13577
tt0072860,8.0,12372
tt0072890,8.0,281882
tt0072901,7.6,20284
tt0072962,7.7,19055
tt0072979,7.1,11252
tt0073000,8.4,14786
tt0073076,7.5,16072
tt0073092,7.2,12855
tt0073179,8.1,14306
tt0073195,8.1,694219
tt0073198,7.5,16082
tt0073312,7.6,42406
tt0073341,7.7,53817
tt0073440,7.6,29898
tt0073453,7.1,19522
tt0073486,8.7,1116201
tt0073540,7.4,43504
tt0073580,7.4,27639
tt0073582,7.5,45267
tt0073629,7.4,174954
tt0073707,8.1,60603
tt0073802,7.4,65902
tt0073918,7.2,11052
tt0074006,8.8,20939
tt0074028,8.4,27068
tt0074084,7.6,28260
tt0074103,7.2,13008
tt0074119,7.9,131153
tt0074156,7.3,58550
tt0074174,7.3,26285
tt0074285,7.4,217978
tt0074360,7.9,11850
tt0074442,7.1,13515
tt0074486,7.3,137099
tt0074695,7.4,30446
tt0074749,7.2,15607
tt0074811,7.5,49668
tt0074860,7.4,72691
tt0074896,8.1,52561
tt0074916,7.5,10033
tt0074937,7.2,43838
tt0074958,8.1,179153
tt0075005,7.5,141139
tt0075029,7.8,83300
tt0075066,7.1,33281
tt0075143,8.9,11413
tt0075148,8.1,659858
tt0075213,7.6,28167
tt0075276,7.7,15959
tt0075314,8.2,978702
tt0075404,8.2,11143
tt0075520,8.5,26422
tt0075537,8.7,10223
tt0075572,8.4,19553
tt0075596,7.5,18274
tt0075612,7.7,18604
tt0075675,7.4,19998
tt0075686,7.9,284356
tt0075784,7.4,64625
tt0075824,7.8,26113
tt0075860,7.6,225383
tt0075968,7.4,28298
tt0076085,8.1,17267
tt0076095,7.4,16975
tt0076162,7.2,36746
tt0076276,8.7,17316
tt0076363,7.5,41297
tt0076578,7.3,26022
tt0076723,7.2,43411
tt0076727,8.2,11052
tt0076734,7.6,14390
tt0076740,7.7,30927
tt0076759,8.6,1508049
tt0076786,7.3,111818
tt0076984,7.2,18352
tt0077000,7.1,17478
tt0077053,7.2,13456
tt0077089,7.7,16779
tt0077097,8.0,11935
tt0077248,7.5,11597
tt0077280,7.2,10351
tt0077288,7.2,12410
tt0077362,7.3,15486
tt0077402,7.8,132823
tt0077405,7.7,65840
tt0077413,7.3,42338
tt0077416,8.1,375536
tt0077451,7.7,13127
tt0077474,7.1,20609
tt0077631,7.2,314560
tt0077651,7.7,323398
tt0077711,8.1,39921
tt0077742,7.3,21556
tt0077745,7.4,76029
tt0077838,8.1,21221
tt0077928,7.5,91271
tt0077975,7.4,132824
tt0078058,7.1,10617
tt0078243,7.6,19355
tt0078252,7.3,13502
tt0078326,7.4,10713
tt0078346,7.4,196100
tt0078480,7.5,41481
tt0078607,7.1,16849
tt0078718,7.4,42534
tt0078748,8.5,1015722
tt0078753,7.1,11026
tt0078754,7.8,37847
tt0078788,8.4,742032
tt0078841,7.9,80497
tt0078872,7.4,14724
tt0078875,7.4,26939
tt0078902,7.7,26603
tt0078966,7.4,34552
tt0079095,7.7,15573
tt0079116,7.5,156191
tt0079221,8.5,21392
tt0079261,7.5,42680
tt0079271,7.1,15635
tt0079336,7.3,10582
tt0079367,7.1,66427
tt0079417,7.8,160965
tt0079470,8.0,428911
tt0079522,7.8,150975
tt0079579,8.0,15041
tt0079588,7.6,40994
tt0079638,7.3,13428
tt0079641,7.4,47055
tt0079672,7.9,13288
tt0079766,7.2,21759
tt0079817,7.3,240277
tt0079833,7.6,34858
tt0079871,7.5,13822
tt0079944,8.0,151285
tt0080009,7.3,19059
tt0080117,7.3,12919
tt0080120,7.5,115536
tt0080179,7.4,45881
tt0080240,7.5,30473
tt0080274,8.1,17214
tt0080297,8.4,10170
tt0080306,8.6,18018
tt0080310,7.8,14969
tt0080339,7.7,273771
tt0080388,7.3,18971
tt0080437,7.1,22182
tt0080439,7.6,10529
tt0080455,7.9,221963
tt0080474,7.1,20209
tt0080487,7.2,131058
tt0080516,7.1,42482
tt0080549,7.5,21390
tt0080610,7.3,16446
tt0080661,7.1,52584
tt0080678,8.2,272779
tt0080684,8.7,1441004
tt0080798,7.1,12571
tt0080801,7.3,61439
tt0080979,7.9,39662
tt0081059,8.2,18273
tt0081070,7.5,27761
tt0081207,7.1,11303
tt0081283,7.7,59305
tt0081398,8.1,395614
tt0081505,8.4,1166318
tt0081506,7.3,11684
tt0081534,7.2,34437
tt0081554,7.2,24572
tt0081834,8.8,36086
tt0081846,9.3,47876
tt0081859,7.1,10279
tt0081873,8.2,11235
tt0081874,8.0,12082
tt0081912,9.0,60699
tt0081933,7.2,22386
tt0082010,7.5,128506
tt0082085,7.4,69666
